"transaction_id","items"
"536415","21212,21790,21791,21916,21976,21977,21986,22086,22130,22147,22149,22186,22321,22367,22469,22470,22472,22529,22530,22531,22534,22551,22554,22557,22565,22566,22580,22587,22593,22594,22595,22616,22632,22694,22695,22736,22738,22739,22749,22750,22775,22807,22834,22837,22865,22867,22899,22900,22909,22910,22940,22941,22942,22951,22952,22961,35591T,84032B,85049H"
"536416","21494,21915,22767,22768,22938,82494L"
"536420","21715,21716,21718,21889,21890,21891,21892,22110,22111,22113,22115,22357,22358,22969"
"536423","21479,21481,21485,22111,22113,22619,22632,22837,84029E"
"536425","21411,21556,22449,22451,22508,22511,22585,22637,22644,22645,22646,22650,22768,22829,22837,22961,79321"
"536437","17021,21154,22059,22188,22189,84678"
"536446","10133,16014,16016,20773,20774,20777,21156,21156,21586,21587,21591,21651,21651,21890,21891,22142,22144,22152,22294,22294,22480,22618,22619,22620,72800E,84347,84625C,84754,84836,85169B,85172,85172"
"536460","21121,21257,21259,21484,21485,21586,21977,22670,22925,22926,22927,84849B,84879,84992"
"536463","82552"
"536464","10125,16258A,20866,20878,21121,21122,21124,21212,21212,21260,21327,21328,21329,21584,21738,21814,21814,21815,21815,21816,21977,21980,21985,21992,21992,22082,22086,22197,22197,22294,22295,22297,22312,22333,22386,22441,22500,22557,22558,22573,22577,22582,22585,22603,22619,22663,22731,22735,22737,22742,22744,22759,22809,22810,22812,22813,22866,22866,22866,22866,22910,22945,22945,22952,22956,22960,22988,48173C,72818,84879,85095,85099B,85099C,85231B,85231B,85231G,85231G,90059B,90059C,90059E,90185C,90200A,90200B,90200C,90200D"
"536466","22960,22961"
"536477","20977,20979,21137,21314,22041,22411,22423,22571,22593,22595,22619,22632,22633,84029E"
"536488","20878,21034,21190,21367,21370,21577,21592,21621,21894,21895,22082,22087,22144,22144,22149,22150,22372,22376,22468,22651,22713,22738,22867,22909,22910,22940,22960,22961,47563A,70007,70007,84347,84347,84347,84558A"
"536500","21035,21488,21622,21754,21755,22024,22113,22616,22630,22712,22895,22900,22983,46000M,84029E"
"536502","21441,22423,22784,84879,85123A"
"536508","21326,84947"
"536514","22485,22633,22807,22865,22866"
"536520","20707,20754,20772,21034,21111,21122,21123,21124,21175,21292,21358,21427,21486,21584,21588,21794,21804,21867,21890,21930,21985,22092,22096,22099,22100,22107,22151,22152,22197,22241,22441,22469,22469,22470,22501,22551,22553,22557,22575,22582,22583,22583,22588,22604,22632,22633,22642,22643,22653,22670,22754,22760,22812,22904,22905,22906,22916,22917,22918,22919,22920,22921,22926,22938,22955,22956,71406C,84378,84596E,84985A,85123A"
"536521","22854"
"536522","20914,20972,21041,21098,21121,21121,21122,21122,21124,21190,21192,21197,21326,21664,21664,21742,21810,21810,21931,22107,22151,22151,22338,22449,22481,22566,22569,22632,22632,22739,22749,22749,22776,22865,22866,22907,22941,37370,47504H,47599A,47599B,72800B,84563A,84836,84836,84968C,84969,84997C,84997D,85014A,85035B,85099B,85231B,85231G"
"536523","21259,21485,22111,22149,22217,22219,22227,22294,22468,22699,22943,22969"
"536524","21106,21107,21111,22697"
"536525","15044B,17164B,20750,20973,20974,21324,21791,21826,22149,22423,22428,22429,22548"
"536526","21135,21929,22113,22173,22411,22624,22625,22626,85099B"
"536527","20712,20713,22242,22243,22244,22549,22809,22837,22969,22973,47421,84347,84569B,84945,POST"
"536528","21452,21587,21731,21992,22077,22082,22128,22130,22326,22411,22411,22423,22445,22453,22454,22454,22568,22570,22584,22584,22585,22585,22607,22616,22634,22635,22743,22743,22744,22744,22812,22813,22815,22839,22839,22865,22865,22865,22867,22900,22910,22911,22911,22938,22938,22960,22961,22963,22968,22974,84985A,84985A,85049A,85049E,85114B,85114B,85114C"
"536529","21258,21743,22164,22187,22222,22487,22627,22947,72598"
"536530","21038,21071,21179,21625,21654,21657,21658,21662,21664,22097,22097,22120,22185,22360,22364,22411,22423,22699,22783,22941,22943,82552,85104"
"536531","15056BL,15056N,20679,21333,21497,21498,21498,21506,21519,22049,22086,22191,22192,22193,22194,22688,22704,22726,22727,22730,22768,22819,22910"
"536532","20685,21080,21156,21166,21212,21213,21260,21506,21520,21733,21786,21870,21873,21874,21967,21977,21980,21981,21982,21983,21984,22092,22094,22095,22114,22197,22198,22315,22444,22489,22494,22530,22531,22534,22539,22540,22543,22544,22547,22551,22553,22554,22555,22556,22557,22558,22561,22567,22614,22615,22632,22665,22666,22667,22716,22814,22842,22865,22866,22899,22956,22961,22962,22963,22966,82600,84050,84375,84692,84991,84992,85150,85152"
"536533","20754,21843,22680,22740,22797,22825"
"536534","22112,22834,22865,22866,22867"
"536535","20685,21156,21485,21523,22118,22119,22121,22219,22311,22418,22943,48194"
"536536","21485,72817,84879"
"536537","20867,21688,21694,22183,22277,22333,22423,22781,22798,22800,22801"
"536538","21143,21466,21467,21469,21471,21523,21524,21690,22086,22088,22173,22195,22457,22469,22470,22573,22574,22583,22584,22600,22601,22603,22752,22791,22910,37343,48129,84944,84949,85199L,85199S"
"536539","20902,21429,21481,21625,21743,22114,22171,22173,22326,22379,22423,22554,22557,22632,22807,22867,22969,37495,48129,48138,48184,72741,82486,84030E,85019A,85019C,85067"
"536540","21055,21056,21576,21579,21833,21889,21891,22147,22150,22355,22492,22493,22622,22968,85071A,85071C,85135B,85136A,85136C,C2"
"536541","21915"
"536542","20711,20712,20713,20727,21928,21930,21931,22379,22382,22383,22386,22411,85099B,85099C,85099F,85123A"
"536544","11001,16236,16237,16238,17003,17011F,17012A,17012B,17012C,17012D,17012E,17012F,17129F,18098C,20622,20658,20662,20668,20669,20676,20684,20685,20719,20724,20725,20733,20735,20770,20772,20835,20839,20840,20854,20856,20867,20902,20914,20956,20961,20963,20966,20969,20971,20972,20973,20975,20981,20992,20996,21000,21012,21035,21041,21068,21069,21070,21071,21080,21098,21107,21108,21115,21116,21121,21147,21154,21158,21165,21166,21169,21174,21175,21189,21191,21195,21207,21210,21212,21213,21216,21217,21218,21218,21231,21232,21238,21249,21258,21262,21313,21314,21327,21328,21349,21352,21354,21365,21366,21369,21372,21385,21407,21408,21429,21479,21484,21486,21488,21507,21523,21559,21563,21564,21577,21634,21641,21658,21662,21679,21703,21704,21706,21716,21721,21722,21731,21742,21758,21773,21774,21786,21787,21790,21791,21801,21802,21803,21809,21810,21811,21821,21822,21823,21844,21851,21870,21871,21874,21879,21884,21888,21889,21892,21894,21911,21912,21913,21914,21915,21922,21928,21935,21942,21944,21949,21975,21977,21982,21990,21991,21992,21993,22037,22043,22064,22065,22067,22068,22069,22071,22075,22076,22077,22080,22081,22082,22083,22086,22087,22090,22095,22100,22107,22110,22111,22112,22114,22115,22130,22134,22135,22141,22144,22149,22153,22154,22155,22156,22161,22162,22169,22174,22178,22182,22185,22189,22190,22195,22196,22197,22198,22203,22207,22219,22224,22265,22276,22294,22296,22297,22299,22300,22301,22309,22310,22314,22318,22335,22336,22345,22348,22355,22356,22357,22359,22360,22361,22367,22371,22375,22376,22378,22379,22380,22383,22384,22394,22396,22418,22419,22422,22423,22430,22432,22437,22444,22451,22457,22469,22470,22471,22476,22477,22478,22479,22487,22489,22494,22497,22515,22517,22519,22530,22531,22539,22540,22545,22548,22549,22550,22553,22555,22558,22560,22569,22571,22573,22574,22580,22582,22583,22588,22589,22595,22600,22601,22603,22605,22614,22616,22620,22625,22629,22632,22633,22635,22639,22644,22645,22646,22651,22654,22662,22664,22665,22666,22669,22675,22694,22695,22697,22699,22719,22727,22728,22729,22730,22734,22737,22738,22739,22740,22741,22744,22745,22748,22755,22757,22758,22759,22760,22769,22791,22792,22798,22812,22813,22816,22818,22822,22835,22837,22844,22844,22845,22847,22862,22862,22865,22866,22866,22867,22876,22899,22900,22906,22909,22910,22916,22917,22918,22919,22920,22921,22928,22940,22945,22948,22949,22951,22952,22956,22960,22961,22962,22963,22966,22968,22969,22972,22974,22975,22976,22988,35095A,35095B,35471D,35598D,35599D,35610A,35818P,35957,35961,35971,37370,37449,37476,47559B,47580,47591B,47591D,47593B,48188,70007,71053,71459,72586,72799E,72799F,72807A,72807B,72807C,72816,72817,79030D,79030G,79321,82551,82578,82580,82583,82613B,82613C,82613D,84029E,84029G,84031A,84031B,84032A,84032B,84050,84086C,84279P,84347,84375,84378,84380,84534B,84535B,84536A,84536B,84580,84581,84598,84625A,84692,84832,84912B,84913A,84913B,84923,84946,84949,84988,84991,84992,85014B,85015,85016,85017A,85017B,85032D,85039A,85048,85049E,85049G,85049H,85064,85099B,85114B,85116,85123A,85127,85129D,85131B,85132A,85135B,85135C,85152,85176,85177,85178,85186A,85199S,85231B,85232B,90003C,90018A,90022,90071,90099,90116,90120C,90129A,90129B,90161A,90190C,90194,90200A,90200C,90209B,90214D,90214G,90214H,90214J,90214R,DOT"
"536545","21134"
"536546","22145"
"536547","37509"
"536549","85226A"
"536550","85044"
"536551","20914,21326,21592,21592,21916,21917,22111,22112,22112,22174,22310,22310,22466,22480,22481,22482,22551,22551,22555,22557,22625,22629,22659,22663,22713,22835,22837,22895,22895,22900,22900,79144B,84949,84970L,84970S"
"536552","20950"
"536553","37461"
"536554","84670"
"536555","20697,22716"
"536556","20749,21843,21922,22336,22597,22599,22694,35961"
"536557","20616,20668,20749,20963,20972,21041,21098,21258,21259,21363,21479,21485,21485,21486,21495,21670,21672,21935,22041,22111,22112,22114,22114,22173,22212,22278,22451,22468,22470,22471,22553,22568,22570,22592,22666,22667,22678,22686,22694,22730,22731,22753,22755,22785,22786,22794,22795,22835,22837,22941,22953,46000R,46000S,79066K,79321,82484,84029E,84029G,84352,84508A,84685,84920,85064,85232B,85232B"
"536558","22802"
"536559","22366,22876,22953,51014A,51014C,51014C,51014L,51014L,84884A"
"536560","20685,22399,22400,22402,22418,22652,22665,22846,22847,22960,48111,48129,79321"
"536561","20972,21731,22274,22318,22466,22551,22632,22745,22748,22750,22779,22780,22865,22866,22867"
"536562","20685,21181,21231,21232,21609,21777,22187,22313,22314,22423,22752,37446,37449,48185,48194,72741,79302M,84509B"
"536563","21452,21818,22798,22800,22909,22941,22964,22976,85199S"
"536564","37446,37449"
"536565","21369,21372"
"536566","21668,22771,22772,22773,22774,22805"
"536567","21231,22632,22645,22646,22865,22866,22867"
"536568","22915"
"536569","21014,21018,21071,21147,21191,21340,21351,21462,21587,21591,21761,21804,21808,21809,21809,21810,21811,21813,21817,21818,21823,21871,22086,22111,22111,22113,22119,22121,22130,22171,22428,22494,22496,22571,22572,22573,22576,22579,22581,22603,22616,22622,22635,22638,22639,22640,22641,22659,22660,22713,22731,22738,22739,22750,22765,22767,22816,22818,22825,22941,22945,22946,84870B,84870C,85232B,M,M"
"536570","21781,22113,22457,22835,84836"
"536571","21352,21790,22065,22444,22696,22952,35598B,35598D,35954,35957,72816,84360,84754,84760S,85032D,85045,85048,85099C"
"536572","21523,21754,21756,21810,21811,21817,22119,22121,22469,22573,22574,22577,22578,22579,22589,22593,22594,22595,22695,22696,22855"
"536573","22178,22791,84755,84970L"
"536574","21756"
"536575","15056P,21107,21232,21864,22095,84050,85099B,85123A"
"536576","15056N,20727,20971,21107,21156,21354,22041,22095,35004C,82615,84029E,84050,85038,85099B,85123A,85174"
"536577","20725,21232,22147,22646"
"536578","21484,22726,22728,22729,22834,22837,22865,22866"
"536579","20727,21232"
"536580","22965,22966,22972,22974,22975,22988"
"536581","85099B"
"536582","21365,21374,21479,21481,21509,21668,21672,22025,22530,22534,22634,22635,22637,22650,22771,84031A,84032A"
"536583","21156"
"536584","84029E"
"536585","37449"
"536586","22725,22726,22728,22729,22730,22846,22848"
"536587","16237,17003,21098,21108,21232,21790,21982,21986,22114,22355,22421,22449,22466,22531,22540,22548,22646,22743,22744,22752,22867,37448"
"536588","21777,22666,22667,22960,22961,22962,22963,84997A,84997B,84997C,84997D"
"536590","21055,21136,21166,21340,22030,22112,22114,22457,22622,22776,22794,22969,71477,85123A"
"536591","20750,20768,20780,20978,21035,21041,21238,21398,21427,21484,21488,21620,21629,21643,21789,21850,21888,21985,22081,22121,22135,22136,22260,22321,22357,22378,22379,22386,22476,22497,37449,47591B,51014C,72741,72807C,85064,90214J,90214M,90214S,90214V"
"536592","10135,16168M,16236,16237,16238,17012A,17012B,17012C,17012D,17012E,17012F,17014A,17084N,17084P,20616,20617,20619,20653,20665,20668,20681,20682,20696,20699,20700,20717,20718,20723,20724,20725,20727,20728,20733,20735,20752,20754,20761,20780,20846,20914,20931,20956,20961,20966,20970,20972,20973,20974,20975,21002,21012,21015,21035,21055,21067,21069,21071,21098,21108,21109,21110,21111,21128,21154,21164,21165,21174,21181,21188,21191,21192,21208,21212,21213,21220,21231,21232,21249,21257,21258,21262,21272,21279,21281,21288,21313,21314,21340,21349,21352,21356,21429,21439,21447,21479,21481,21484,21486,21488,21494,21519,21520,21524,21537,21544,21547,21557,21559,21576,21594,21638,21648,21656,21658,21671,21684,21698,21700,21705,21718,21731,21743,21745,21754,21755,21756,21773,21774,21775,21777,21786,21789,21790,21791,21801,21802,21803,21809,21813,21820,21821,21830,21832,21833,21844,21846,21851,21868,21871,21875,21879,21889,21891,21892,21896,21899,21906,21908,21914,21915,21929,21931,21934,21935,21942,21949,21974,21975,21976,21977,21981,21982,21984,21985,21990,21991,21992,21993,22064,22065,22077,22078,22081,22082,22083,22084,22086,22090,22091,22100,22109,22111,22112,22114,22117,22121,22124,22134,22135,22141,22142,22144,22147,22149,22161,22162,22165,22165,22169,22174,22178,22182,22183,22184,22188,22190,22195,22197,22198,22207,22208,22245,22246,22260,22261,22262,22276,22277,22278,22283,22294,22300,22301,22304,22308,22309,22310,22311,22312,22314,22317,22324,22325,22331,22342,22348,22350,22352,22355,22356,22364,22371,22376,22379,22381,22386,22393,22396,22405,22409,22411,22413,22419,22420,22421,22422,22423,22425,22427,22428,22446,22447,22448,22449,22451,22458,22459,22467,22467,22469,22472,22487,22489,22499,22501,22503,22508,22530,22531,22534,22536,22537,22539,22544,22547,22553,22557,22560,22561,22565,22566,22569,22570,22571,22580,22581,22582,22583,22584,22586,22587,22588,22589,22600,22601,22602,22603,22619,22620,22622,22624,22625,22631,22632,22637,22645,22649,22651,22659,22663,22664,22665,22666,22668,22669,22673,22678,22692,22694,22696,22697,22699,22712,22713,22726,22734,22735,22737,22738,22739,22741,22742,22745,22746,22747,22748,22749,22751,22754,22756,22758,22759,22775,22781,22785,22788,22791,22792,22794,22795,22798,22800,22801,22805,22810,22812,22813,22814,22831,22834,22835,22837,22841,22844,22854,22855,22862,22863,22865,22866,22867,22870,22890,22895,22897,22898,22900,22904,22906,22909,22910,22915,22916,22917,22918,22919,22920,22921,22940,22941,22944,22945,22946,22947,22948,22951,22952,22961,22968,22969,22972,22973,22974,22975,22976,22977,22988,35095A,35471D,35598B,35599D,35637A,35916B,35916C,35957,35961,35964,35965,35967,37370,37444C,37446,37450,37491A,46775D,46776B,47563A,47566B,47567B,47590A,47590B,47591B,47591D,47593B,47594A,47599A,48111,48138,48187,48194,51014A,51014C,70006,70007,71477,71496A,72134,72741,72807A,72816,72817,79067,79302M,79321,82494L,82551,82552,82578,82580,82582,82599,82613B,82613C,82613D,82616C,84029E,84029G,84031B,84032A,84032B,84086C,84279P,84347,84375,84378,84380,84459B,84509A,84510A,84520B,84536A,84536B,84559A,84559B,84580,84596J,84609,84658,84659A,84663A,84692,84754,84755,84828,84832,84856L,84879,84912B,84913B,84915,84923,84946,84950,84969,84970L,84970S,84971S,84976,84988,84992,85008,85015,85017A,85017B,85032D,85040B,85048,85049A,85049E,85049G,85053,85064,85099B,85099F,85114A,85114B,85114C,85116,85123A,85131B,85131D,85132A,85135B,85136A,85136C,85150,85170D,85199L,85212,85227,85231B,85232B,85232D,90013B,90018B,90019B,90024C,90036F,90040B,90051,90054,90077,90124B,90134,90138,90161A,90161B,90166,90173,90177C,90177E,90181B,90192,90200C,90206C,90209C,90211A,90214A,90214E,90214H,90214S,DOT"
"536593","21472,21524,22222,22366,22519"
"536594","21733,22113,22804,84970L,85123A"
"536595","20679,20765,21137,21577,21705,21756,21877,22041,22121,22524,22694"
"536596","21624,21967,22114,22802,22900,84926A"
"536597","20682,20726,20755,21221,21380,21703,21704,21705,21709,21739,22086,22197,22220,22384,22583,22731,22909,22910,22952,35271S,40001,72798C,72802C,72803A,72818,84744,85034A,85035C"
"536598","21421,21422,22178,22617"
"536599","20749,21056,22726,22727,22968,84945"
"536600","21730,22411,22752,22803,71053,82482,82483,82486,82494L,84029E,84029G,85123A"
"536601","22632,22633"
"536602","21068,21071,21730,21871,22411,22752,37370,71053,82483,84029E,84029G,85123A"
"536603","22632,22633"
"536604","22189,22457,22792,22863,22961,72741,84832,84970S,85231B"
"536605","20963,20966,21042,21172,21181,21364,22107,22109,22111,22219,22271,22272,22273,22274,47567B"
"536607","21481,21733,21754,21756,21955,22114,22365,22386,22423,22457,22507,22602,22624,22804,72760B,84879,85099B,85123A"
"536608","22863,22962,22963"
"536609","21068,21071,21730,21871,22411,22752,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536610","22632,22633"
"536611","21272,21790,21889,21915,22549,22632,22633,22865,22866,62096A,82580,84031A,84032A,85071D"
"536612","21068,21071,21730,21871,22411,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536613","21360,21790,21791,21918,22029,22037,22044,22149,22544,22619,22620,22652,22736,22818,22910,22945,84836"
"536614","22632,22633"
"536615","21754,22120,22367,22467,22618,22634,22752,22781,22837,22898,84077,84792"
"536616","21137"
"536617","20893,21125,21354,21356,21743,22179,72741,79302M,79321,85116,85175"
"536618","20975,21592,21791,21914,21915,22197,22198,22418,22434,22440,22466,22551,22555,22556,22564,22909,22910,22943,22952,84077,84375"
"536619","22960,22961"
"536620","21058,21060,21061,21062,21212,21215,21328,21719,21722,21724,21880,21881,21883,21977,22743,22744,22943,22961,22965,84826,84991,85049E,85049G"
"536621","10135,21790,21791,22422,22491,22492,22536,22549,22561,22752"
"536623","21068,21069,21070,21071,21355,21506,21518,21519,21520,21669,21670,21671,21672,21673,21756,22023,22027,22028,22029,22030,22037,22245,22419,22431,22432,22433,22460,22697,22712,22717,22718,22771,22772,22774,22775,22815,22972,22974,22983,48185,48187,72818,82483,82486,82494L,84674,84755,84970L"
"536624","20914,21212,21584,21588,21843,21914,21915,22109,22549,22568,22569,22570,22672,22676,22699,22725,22726,22727,22730,22925,22926,22927"
"536626","22965"
"536627","21755,21756,22423,22697,22699,22776,22777,22778,22783,22926,22927,22928,22941,22961"
"536628","21068,21071,21730,21871,22411,22752,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536629","22632,22633"
"536630","21068,21071,21730,21871,22411,22752,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536631","22632,22633"
"536632","21217,21479,21484,21485,21843,21875,21931,22111,22386,22477,22739,22812,22837,22923,22924,22961,22964,22988,37370,79066K,85099B"
"536633","22086,22301,22446,22728,22730,22832,22909,22916,22917,22918,22919,22920,22921,22926,22952,22960,22961,84380"
"536634","20674,20676,20727,21080,21181,21210,21679,21967,22094,22170,22457,22900,82494L,82582"
"536635","21181,21428,21429,21754,21868,21870,21877,22112,22114,22441,22502,22557,22759,22840,22855,22961,84029E,84375,85150,85152"
"536636","22086"
"536637","16046,20733,20733,20878,20878,20967,21098,21154,21154,21212,21326,21328,21914,22130,22130,22195,22196,22197,22198,22315,22489,22491,22559,22560,22568,22616,22633,22633,22633,22652,22653,22654,22654,22659,22696,22696,22731,22733,22755,22768,22796,22866,22867,22867,22896,22911,22916,22917,22917,22918,22919,22920,22920,22921,22945,22945,22960,22961,47471,48138,72818,79191C,84692,85114C,85135B,85231B,85231G"
"536638","20750,20974,20975,20982,20983,20992,21041,21108,21158,21159,21161,21163,21216,21313,21380,21381,21383,21390,21429,21430,21527,21533,21537,21538,22070,22071,22090,22111,22113,22131,22188,22208,22209,22210,22212,22284,22285,22297,22318,22335,22352,22469,22499,22502,22637,47566B,47590A,47590B,47599B,51014A,72741,84031A,84031B,84032B,84406B,84509A,84510A,84836,84970L,84971S,84991,84992,85216"
"536639","21042,21872,21888,22090,22112,22365,22632,22637,22822,22865,22866,22867,22961,48111,48138,84029G"
"536640","20754,21914,22411,22560,22632,22633,22661,22667,22761,22867,85035A"
"536641","22187"
"536643","20723,20967,20969,20970,21479,21870,22110,22112,22371,22372,22374,22375,22385,22418,22578,22579,22634,22650,22662,22663,84997A,84997B,84997C,84997D,85099B,85099B,85136A"
"536663","22632,22633,22737,22867,22910,22952"
"536667","21217,21738,21739,21741,22086,22423,22574,22576,22579,22594,22595,22601,22602,22910,79321,84347"
"536670","22469"
"536671","21385,22465,22740,22855,85061W"
"536672","20749,21288,22729,22812"
"536673","21014,21791,21801,21803,22491,22909,40016,72816"
"536674","16235,20832,20986,21034,21064,21161,21364,22131,22195,22202,22367,22501,22650,22964,47591B,47591D,48173C,84341B,84509G,84755,85038"
"536676","21563,21769,22168,22442,22595,22759,22797,22969,84846A"
"536681","21584,21586,21588,22294,22295,22423,22633,22866,22867,22906,22988,84406B,84879"
"536685","21068,21071,21730,21871,22411,22752,22803,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536688","22632,22633"
"536690","21068,21071,21730,21871,22411,22752,22803,37370,71053,82482,82483,82486,82494L,84029E,84029G,84406B,85123A"
"536693","22632,22633"
"536698","20798,21249,21561,21731,21743,21790,21913,22320,22382,22457,22493,22669,22745,22943,85135B,85227"
"536707","21217,21218,21843,22215,22423,22626,22840,22938,22955,37495,85132A,85132B,85132C"
"536732","20674,20675,21080,21086,21094,21207,21212,21213,21238,21239,21244,21245,21479,21679,21987,21988,21989,22086,22316,22332,22423,22437,22910,84997A,84997D,85049A"
"536733","20677,20914,20974,20975,21080,21086,21094,21206,22083,22333,47590B,47599A,47599B,84375"
"536735","22659"
"536736","21703,21790,21791,22555,22616"
"536738","20914,21217,21843,22806,22840,22841,22893"
"536739","20750,21527,21784,21843,21844,22120,22666,22848,22849,35004C,85064,85159A"
"536740","21217,22961,22962,22963,22964,22966,22969"
"536741","17090A,17090D,22075,22077,22144,22457,22652,22940,72127,72133,84763,84879,84945,85049A,85049E"
"536742","10124G,20914,20978,20978,21211,21213,21427,21472,21504,21584,21833,21922,21931,21974,22086,22196,22292,22311,22312,22316,22349,22379,22450,22451,22465,22469,22470,22505,22514,22553,22553,22557,22558,22652,22659,22666,22768,22822,22862,22941,22972,22973,22974,22988,47504H,84380,84519B,84692,84755,85127"
"536743","16012,20828,20984,21465,21470,21623,21731,21830,21849,21851,21889,21914,21918,22045,22436,22551,22554,22622,22653,22654,22729,22745,22746,22785,22800,22983,22986,84949,85025C,85124B,85124C,85135B,90175C,90178A,90180A"
"536744","21156,21625,21843,22367,22423,22839,22898,22955,22956,47591D"
"536745","20749,20750,21428,21430,22077,22736,22737,22738,85177,85184C"
"536746","21258,21259,21587,22082,22169,22604,22767,22768,22795,22914,22969,84946,84947"
"536747","16156S,22632,22633,22834,22865,22866,85049A,85049C,85049E,85049F,85049G,85049H"
"536748","22191,22426,22634,72760B,84945"
